sector,time_bucket,headline_count,avg_sentiment,pos_count,neg_count
Auto,2025-07-02 11:00:00+00:00,2,-0.5,0,1
Auto,2025-07-02 14:00:00+00:00,1,1.0,1,0
Auto,2025-07-03 03:00:00+00:00,1,-1.0,0,1
Auto,2025-07-03 04:00:00+00:00,1,1.0,1,0
Auto,2025-07-03 05:00:00+00:00,2,0.0,1,1
Finance,2025-07-02 13:00:00+00:00,2,0.0,1,1
Finance,2025-07-03 03:00:00+00:00,1,-1.0,0,1
IT,2025-07-02 13:00:00+00:00,1,0.0,0,0
IT,2025-07-02 18:00:00+00:00,1,-1.0,0,1
IT,2025-07-02 20:00:00+00:00,1,0.0,0,0
IT,2025-07-03 04:00:00+00:00,1,-1.0,0,1
Metals,2025-07-02 10:00:00+00:00,1,-1.0,0,1
Metals,2025-07-02 13:00:00+00:00,1,1.0,1,0
Metals,2025-07-02 16:00:00+00:00,1,-1.0,0,1
Metals,2025-07-03 05:00:00+00:00,1,-1.0,0,1
Oil & Gas,2025-07-02 13:00:00+00:00,2,0.0,1,1
Oil & Gas,2025-07-02 17:00:00+00:00,1,1.0,1,0
Oil & Gas,2025-07-03 01:00:00+00:00,1,0.0,0,0
Pharma,2025-07-03 05:00:00+00:00,1,-1.0,0,1
Uncategorized,2025-07-02 10:00:00+00:00,5,0.6,3,0
Uncategorized,2025-07-02 11:00:00+00:00,5,-0.4,1,3
Uncategorized,2025-07-02 12:00:00+00:00,3,-0.6666666666666666,0,2
Uncategorized,2025-07-02 13:00:00+00:00,6,0.0,1,1
Uncategorized,2025-07-02 14:00:00+00:00,4,-0.5,1,3
Uncategorized,2025-07-02 15:00:00+00:00,4,0.5,2,0
Uncategorized,2025-07-02 16:00:00+00:00,4,0.0,1,1
Uncategorized,2025-07-02 17:00:00+00:00,1,-1.0,0,1
Uncategorized,2025-07-02 18:00:00+00:00,4,0.75,3,0
Uncategorized,2025-07-02 19:00:00+00:00,1,-1.0,0,1
Uncategorized,2025-07-02 20:00:00+00:00,2,-0.5,0,1
Uncategorized,2025-07-02 21:00:00+00:00,2,0.5,1,0
Uncategorized,2025-07-02 23:00:00+00:00,2,0.0,0,0
Uncategorized,2025-07-03 00:00:00+00:00,3,0.0,0,0
Uncategorized,2025-07-03 01:00:00+00:00,2,0.5,1,0
Uncategorized,2025-07-03 02:00:00+00:00,6,-0.5,0,3
Uncategorized,2025-07-03 03:00:00+00:00,6,-0.3333333333333333,1,3
Uncategorized,2025-07-03 04:00:00+00:00,8,0.25,3,1
Uncategorized,2025-07-03 05:00:00+00:00,11,-0.45454545454545453,1,6
